title;description;category;tags;location;valuation;custodian;cf:Asset ID,type:text;cf:Manufacturer,type:option;cf:Purchase date,type:date;cf:Warranty expiry,type:date;cf:Last calibration,type:date;cf:Operational status,type:option;cf:Requires certification,type:boolean
Zeiss Axio Observer 7;Inverted microscope for live cell imaging;Microscopes;microscope,imaging;Cell Biology Lab;75000;Dr. Sarah Chen;ZAXO7-001;Zeiss;02/15/2022;02/14/2027;03/10/2023;Operational;yes
Thermo Scientific Sorvall LYNX 6000;Superspeed centrifuge;Centrifuges;centrifuge,sample prep;Biochemistry Lab;40000;Prof. Michael Lee;TSLYNX6K-002;Thermo Scientific;09/01/2021;08/31/2026;04/05/2023;Operational;yes
Agilent 1260 Infinity II HPLC;High-performance liquid chromatography system;Chromatography;HPLC,analysis;Analytical Chemistry Lab;65000;Dr. Emily Roberts;AG1260-003;Agilent;11/20/2022;11/19/2027;03/15/2023;Operational;yes
Bio-Rad CFX96 Touch Real-Time PCR;Real-time PCR detection system;PCR Equipment;PCR,gene expression;Molecular Biology Lab;25000;Prof. David Wong;BRCFX96-004;Bio-Rad;05/10/2023;05/09/2028;05/10/2023;New;yes
Eppendorf CellXpert C170i;CO2 incubator for cell culture;Cell Culture;incubator,cell culture;Stem Cell Research Lab;15000;Dr. Lisa Thompson;EPCX170I-005;Eppendorf;07/03/2021;07/02/2026;03/20/2023;Operational;yes
JEOL JEM-1400 Flash;Transmission electron microscope;Microscopes;TEM,imaging;Electron Microscopy Facility;500000;Dr. Robert Brown;JJEM1400-006;JEOL;03/12/2020;03/11/2025;02/28/2023;Operational;yes
Leica CM1950 Cryostat;Clinical cryostat for tissue sectioning;Histology;cryostat,tissue processing;Pathology Lab;30000;Prof. Angela Martinez;LCM1950-007;Leica;01/25/2023;01/24/2028;01/25/2023;Operational;yes
Nikon A1R HD25 Confocal Microscope;High-definition confocal microscope system;Microscopes;confocal,imaging;Neuroscience Lab;350000;Dr. Thomas Wilson;NA1RHD25-008;Nikon;08/17/2022;08/16/2027;03/05/2023;Operational;yes
Beckman Coulter DelsaMax PRO;Dynamic light scattering analyzer;Particle Analysis;DLS,characterization;Nanotechnology Lab;60000;Prof. Jennifer Lee;BCDMPRO-009;Beckman Coulter;04/30/2023;04/29/2028;04/30/2023;New;yes
Shimadzu GCMS-QP2020 NX;Gas chromatograph-mass spectrometer;Spectrometry;GCMS,analysis;Environmental Science Lab;85000;Dr. Mark Johnson;SGCMSQP2020-010;Shimadzu;12/05/2021;12/04/2026;03/25/2023;Operational;yes
